sample-id,Genotypes,N dosages,Inoculants,Growth stage,Rep
NREC22_1001_S1_Inbred: B73 N: 0 IF: None,B73,N:0,None,V8,1
NREC22_1001_S2_Inbred: B73 N: 0 IF: None,B73,N:0,None,VT,2
NREC22_1002_S1_Inbred: BNI NIL 1 N: 0 IF: Proven,NIL 1,N:0,Proven,V8,3
NREC22_1002_S2_Inbred: BNI NIL 1 N: 0 IF: Proven,NIL 1,N:0,Proven,VT,4
NREC22_1003_S1_Inbred: B73 N: 60 IF: None,B73,N:67,None,V8,1
NREC22_1003_S2_Inbred: B73 N: 60 IF: None,B73,N:67,None,VT,2
NREC22_1004_S1_Inbred: BNI NIL 1 N: 60 IF: Proven,NIL 1,N:67,Proven,V8,1
NREC22_1004_S2_Inbred: BNI NIL 1 N: 60 IF: Proven,NIL 1,N:67,Proven,VT,2
NREC22_1005_S1_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,V8,3
NREC22_1005_S2_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,VT,4
NREC22_1006_S1_Inbred: BNI NIL 2 N: 60 IF: None,NIL 2,N:67,None,V8,1
NREC22_1006_S2_Inbred: BNI NIL 2 N: 60 IF: None,NIL 2,N:67,None,VT,2
NREC22_1007_S1_Inbred: BNI NIL 1 N: 0 IF: None,NIL 1,N:0,None,V8,1
NREC22_1007_S2_Inbred: BNI NIL 1 N: 0 IF: None,NIL 1,N:0,None,VT,2
NREC22_1013_S1_Inbred: B73 N: 0 IF: None,B73,N:0,None,V8,3
NREC22_1013_S2_Inbred: B73 N: 0 IF: None,B73,N:0,None,VT,4
NREC22_1014_S1_Inbred: BNI NIL 2 N: 60 IF: Proven,NIL 2,N:67,Proven,V8,1
NREC22_1014_S2_Inbred: BNI NIL 2 N: 60 IF: Proven,NIL 2,N:67,Proven,VT,2
NREC22_1015_S1_Inbred: B73 N: 60 IF: Proven,B73,N:67,Proven,V8,1
NREC22_1015_S2_Inbred: B73 N: 60 IF: Proven,B73,N:67,Proven,VT,2
NREC22_1016_S1_Inbred: BNI NIL 2 N: 0 IF: Proven,NIL 2,N:0,Proven,V8,3
NREC22_1016_S2_Inbred: BNI NIL 2 N: 0 IF: Proven,NIL 2,N:0,Proven,VT,4
NREC22_1018_S1_Inbred: BNI NIL 2 N: 60 IF: Proven,NIL 2,N:67,Proven,V8,3
NREC22_1018_S2_Inbred: BNI NIL 2 N: 60 IF: Proven,NIL 2,N:67,Proven,VT,4
